class,subset,output_file,original_file,n_out,n_org,emd
bathtub,decrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\decrypted_bathtub_0107.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0107.off,1568,1568,0.07921953285599548
bathtub,decrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\decrypted_bathtub_0108.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0108.off,352,352,0.025749177970146503
bathtub,decrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\decrypted_bathtub_0109.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0109.off,7422,7422,0.06703235465781933
bathtub,decrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\decrypted_bathtub_0110.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0110.off,6812,6812,0.056230682400170026
bathtub,decrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\decrypted_bathtub_0111.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0111.off,7940,7940,0.051766783740146094
bathtub,decrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\decrypted_bathtub_0112.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0112.off,2638,2638,0.048609509785402065
bathtub,decrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\decrypted_bathtub_0113.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0113.off,1054,1054,0.06079334001867162
bathtub,decrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\decrypted_bathtub_0114.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0114.off,3208,3208,0.06238946311880598
bathtub,decrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\decrypted_bathtub_0115.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0115.off,3666,3666,0.06033412365155577
bathtub,decrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\decrypted_bathtub_0116.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0116.off,335,335,0.05267521246389888
bathtub,decrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\decrypted_bathtub_0117.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0117.off,6171,6171,0.05832043572433371
bathtub,decrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\decrypted_bathtub_0118.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0118.off,5887,5887,0.039914725125710995
bathtub,decrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\decrypted_bathtub_0119.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0119.off,5236,5236,0.07664981308329119
bathtub,decrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\decrypted_bathtub_0120.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0120.off,968,968,0.06259697147377594
bathtub,decrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\decrypted_bathtub_0121.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0121.off,2314,2314,0.06605698812178404
bathtub,decrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\decrypted_bathtub_0122.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0122.off,7014,7014,0.062161941343224024
bathtub,decrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\decrypted_bathtub_0123.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0123.off,1248,1248,0.0389975908100699
bathtub,decrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\decrypted_bathtub_0124.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0124.off,3516,3516,0.044114797537292874
bathtub,decrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\decrypted_bathtub_0125.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0125.off,7699,7699,0.05420977405830063
bathtub,decrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\decrypted_bathtub_0126.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0126.off,220,220,0.02635264266881636
bathtub,decrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\decrypted_bathtub_0127.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0127.off,765,765,0.07903482603978776
bathtub,decrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\decrypted_bathtub_0128.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0128.off,4888,4888,0.047528146641482284
bathtub,decrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\decrypted_bathtub_0129.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0129.off,780,780,0.05105301776153677
bathtub,decrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\decrypted_bathtub_0130.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0130.off,2723,2723,0.052079871769805164
bathtub,decrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\decrypted_bathtub_0131.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0131.off,1372,1372,0.08616861024665168
bathtub,decrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\decrypted_bathtub_0132.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0132.off,806,806,0.0553332069749386
bathtub,decrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\decrypted_bathtub_0133.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0133.off,2954,2954,0.03220469590129875
bathtub,decrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\decrypted_bathtub_0134.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0134.off,1206,1206,0.044248755412812875
bathtub,decrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\decrypted_bathtub_0135.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0135.off,10319,10319,0.07088753057244633
bathtub,decrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\decrypted_bathtub_0136.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0136.off,3462,3462,0.0550160438810421
bathtub,decrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\decrypted_bathtub_0137.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0137.off,216,216,0.03653461738510111
bathtub,decrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\decrypted_bathtub_0138.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0138.off,2950,2950,0.06610285392938024
bathtub,decrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\decrypted_bathtub_0139.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0139.off,1690,1690,0.04608587044028162
bathtub,decrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\decrypted_bathtub_0140.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0140.off,760,760,0.05160486801224544
bathtub,decrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\decrypted_bathtub_0141.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0141.off,74637,74637,0.08985777156942654
bathtub,decrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\decrypted_bathtub_0142.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0142.off,3207,3207,0.06315999608493275
bathtub,decrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\decrypted_bathtub_0143.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0143.off,1040,1040,0.05451738803458567
bathtub,decrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\decrypted_bathtub_0144.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0144.off,586,586,0.05014094901354605
bathtub,decrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\decrypted_bathtub_0145.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0145.off,5452,5452,0.0449021781711536
bathtub,decrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\decrypted_bathtub_0146.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0146.off,11143,11143,0.08717016914944561
bathtub,decrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\decrypted_bathtub_0147.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0147.off,1540,1540,0.0306461873003779
bathtub,decrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\decrypted_bathtub_0148.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0148.off,703,703,0.07977682164205449
bathtub,decrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\decrypted_bathtub_0149.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0149.off,96750,96750,0.0853806593726105
bathtub,decrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\decrypted_bathtub_0150.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0150.off,62480,62480,0.09026099628596762
bathtub,decrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\decrypted_bathtub_0151.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0151.off,4658,4658,0.07455766018828075
bathtub,decrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\decrypted_bathtub_0152.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0152.off,849,849,0.05281883641342093
bathtub,decrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\decrypted_bathtub_0153.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0153.off,6427,6427,0.05893088591695464
bathtub,decrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\decrypted_bathtub_0154.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0154.off,1494,1494,0.050542920410755865
bathtub,decrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\decrypted_bathtub_0155.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0155.off,6215,6215,0.04242734156835422
bathtub,decrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\decrypted_bathtub_0156.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0156.off,10158,10158,0.07267020155931142
bathtub,encrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\encrypted_bathtub_0107.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0107.off,1622,1568,0.2815686888823227
bathtub,encrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\encrypted_bathtub_0108.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0108.off,367,352,0.34598493035443806
bathtub,encrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\encrypted_bathtub_0109.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0109.off,7677,7422,0.318891076925927
bathtub,encrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\encrypted_bathtub_0110.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0110.off,7046,6812,0.36878515601098966
bathtub,encrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\encrypted_bathtub_0111.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0111.off,8213,7940,0.4516338606676855
bathtub,encrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\encrypted_bathtub_0112.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0112.off,2728,2638,0.37326369341399546
bathtub,encrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\encrypted_bathtub_0113.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0113.off,1090,1054,0.26495260455356684
bathtub,encrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\encrypted_bathtub_0114.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0114.off,3319,3208,0.3036808118540979
bathtub,encrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\encrypted_bathtub_0115.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0115.off,3792,3666,0.2746629823220428
bathtub,encrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\encrypted_bathtub_0116.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0116.off,347,335,0.42813827911951674
bathtub,encrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\encrypted_bathtub_0117.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0117.off,6384,6171,0.2856023805438422
bathtub,encrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\encrypted_bathtub_0118.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0118.off,6088,5887,0.3099379369204316
bathtub,encrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\encrypted_bathtub_0119.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0119.off,5416,5236,0.2541498401369438
bathtub,encrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\encrypted_bathtub_0120.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0120.off,1004,968,0.3129975422958619
bathtub,encrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\encrypted_bathtub_0121.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0121.off,2395,2314,0.2860647419343407
bathtub,encrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\encrypted_bathtub_0122.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0122.off,7254,7014,0.30334456963506434
bathtub,encrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\encrypted_bathtub_0123.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0123.off,1293,1248,0.37329527426952813
bathtub,encrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\encrypted_bathtub_0124.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0124.off,3636,3516,0.24213108967502833
bathtub,encrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\encrypted_bathtub_0125.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0125.off,7963,7699,0.3912512343719434
bathtub,encrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\encrypted_bathtub_0126.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0126.off,229,220,0.4148683138781447
bathtub,encrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\encrypted_bathtub_0127.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0127.off,792,765,0.2962570908481184
bathtub,encrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\encrypted_bathtub_0128.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0128.off,5056,4888,0.48141062413686975
bathtub,encrypted,D:\Year 3\chaos_theory_implementation\output\bathtub\encrypted_bathtub_0129.off,D:\Year 3\chaos_theory_implementation\data\ModelNet10\ModelNet10\bathtub\test\bathtub_0129.off,807,780,0.44497371587202666
